zuordnung;Name;Vorname;Titel;Land;Zeit am Institut ;Abteilung;Auswahl 1950–1990;"""Ostblock"" inkl. China & Nordkorea";Förderer;Förderer extern;Herkunftsinstitut (bei letztem Aufenthalt am IEG);Forschungsthema;Beschreibung;Publikation;Betreuer/in oder nur Gutachter/in;Institution Betreuer/in;Ort Institution Betreuer/in;Staat Institution Betreuer/in;Staatsangehörigkeit Betreuer/in;Spalte2
Fellow;Marko;Kurt;;Österreich;1957, 1958;2;1;;Institut;;Institut für Osteuropäische Geschichte und Südostforschung, Universität Wien, Österreich;Wörterbuch zur sowjetischen philosophischen Terminologie;Bei Antritt bereits promoviert;"{""weiteres52d3fad3312d4"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/opac.ub.uni-mainz.de\/DB=3\/CMD?ACT=SRCHA&IKT=6015&DB=3&SRT=YOP&SRT=YOP&TRM=kurt+marko+sic+non | Sic et non. Kritisches W\u00f6rterbuch des sowjetrussischen Marxismus-Leninismus der Gegenwart, Wiesbaden 1962 (Ver\u00f6ffentlichungen des Osteuropa-Instituts M\u00fcnchen 18)\u00a0 | _new>>\r\n""}}";G;Universität Salzburg;Salzburg;Österreich;;
Fellow;Markov;Georgi;;Bulgarien;1981, 1982;2;1;1;Institut;;Bulgarische Akademie der Wissenschaften, Historisches Institut, Sofia, Bulgarien;Deutschlands Rolle in der Entwicklung Bulgariens 1914–1944;Bei Antritt bereits promoviert;"{""weiteres52d3fad58b506"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/d-nb.info\/369159888\/about\/html | B\u0103lgaro-germanskite otno\u0161enija 1931\u20131939, Sofija 1984 | _new>>\r\n""}}";B;;;;;
Fellow;Martinez De La Escalera;José;;Spanien;1966, 1967, 1968, 1969;1;1;;Institut;;;Theologia crucis als Ansatz einer Theologie beim jungen Luther;keine Stipendiatenakte vorhanden;"{""weiteres14e4a2244502ee17"":{""titel"":""Publikationen"",""text"":""<a href=\""http:\/\/viaf.org\/viaf\/44375301\/\"" target=\""_new\"">VIAF-Link<\/a>""}}";;;;;;
Fellow;Maxcey;Carl E.;;USA;1984;1;1;;Institut;;;Studien zu Johannes Dietenberger und seiner Auseinandersetzung mit Luther;Professur inne, Forschungsaufenthalt;"{""weiteres52d3fad003ed4"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/dx.doi.org\/10.14315\/arg-1984-jg05 | Why Do Good? Dietenberger's Reply to Luther, in: Archiv f\u00fcr Reformationsgeschichte 75 (1984), 93-112 | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Mazalová;Pavla;;Tschechoslowakei;1990;2;1;1;Extern;KAAD;Masaryk University Brno, Tschechien;Anfänge der Parteien in Mähren im 19. Jahrhundert;Betreuer nicht ersichtlich, Akte unvollständig, kein Gutachten vorhanden;;kein Gutachter;;;;;
Fellow;Mazohl-Wallnig;Birgitte;;Italien;1974, 1975;2;1;;Institut;;Paris-Lodron-Universität Salzburg, Österreich;Die Verwaltungsgeschichte von Lombardo-Venetien im Neoabsolutismus (1848–1859);Bei Antritt bereits promoviert;"{""weiteres52d3fad4a5c4a"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=024795380 | \u00d6sterreichischer Verwaltungsstaat und administrative Eliten im K\u00f6nigreich Lombardo-Venetien 1815\u20131859, Mainz 1993 (IEGV 146) | _new>>\r\n""}}";B;Universität Salzburg;Salzburg;Österreich;;
Fellow;Mazzone;Umberto;;Italien;1979, 1980, 1981;1;1;;Institut;;Universitŕ di Bologna, Italien;Wirkungsgeschichte der Konstanzer Konzilsdekrete in der Reformationszeit;Bei Antritt bereits promoviert, Aktennotiz: von Prof. Iserloh empfohlen;"{""weiteres14563faf0b75500a"":{""titel"":""Publikationen"",""text"":""<<http:\/\/viaf.org\/viaf\/32040707\/ | VIAF-Link | _new>>""}}";B;Universitŕ di Bologna;Bologna;Italien;;
Fellow;McNeil;William C.;;USA;1983;2;1;;Extern;Volkswagen-Stiftung;Barnard College, New York, USA;Die deutsche Fiskalpolitik und die Depression 1925/26;;"{""weiteres52d3facfd1807"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/d-nb.info\/369158598\/about\/html | American Money and the Weimar Republic. Economics and Politics on the Eve of the Great Depression, New York 1986 | _new>>\r\n""}}";;;;;;
Fellow;Meijer;Miriam Claude;;USA;1987;2;1;;Institut;;University of California, Berkeley, USA;Anthropologisches Denken in der deutschen und niederländischen Spätaufklärung;;"{""weiteres52d3fad020df5"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=134528670 | The Anthropology of Petrus Camper (1722\u20131789), Ann Arbor 1992 | _new>>\r\n""}}";B;University of California;Los Angeles, California;USA;;
Fellow;Meinck;Gerhard;;Bundesrepublik Deutschland;1956;2;1;;Institut;;Georg-August-Universität Göttingen, Deutschland;Die deutsche Aufrüstung 1933–1939;Bei Antritt bereits promoviert, kein Gutachten vorhanden ; Hitler und die deutsche Aufrüstung 1933\u20131937, Wiesbaden 1959 (IEGV 19) ;kein Gutachter;;;;;
Fellow;Melville;Ralph;;Bundesrepublik Deutschland;1972, 1973;2;1;;Institut;;Universität Freiburg, Deutschland;Adel und Revolution in Böhmen in der Mitte des 19. Jahrhunderts;;"{""weiteres52d3fad45e560"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/opac.ub.uni-mainz.de\/DB=3\/CMD?ACT=SRCHA&IKT=8520&DB=3&SRT=YOP&SRT=YOP&TRM=3-8053-1176-1 | Adel und Revolution in B\u00f6hmen. Strukturwandel von Herrschaft und Gesellschaft in \u00d6sterreich um die Mitte des 19. Jahrhunderts, Mainz 1998 (IEGV 95) | _new>>\r\n""}}";B;Albert-Ludwigs-Universität;Freiburg i. Br.;Bundesrepublik Deutschland;;
Fellow;Menning;Ralph Richard;;USA;1979, 1980, 1981;2;1;;Institut;;Brown University, Rhode Island, USA;Der Weg des Deutschen Reiches in die Isolation 1906–1909;;"{""weiteres52d3fad557e37"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=212571524 | The Collapse of \u00bbGlobal Diplomacy\u00ab: Germany's Descent into Isolation, 1906\u20131909 (B\u00fclow, Bosnia, Morocco), Ann Arbor 1986 | _new>>""}}";B;Brown University;Providence, Rhode Island;USA;;
Fellow;Meriggi;Marco Antonio;;Italien;1981, 1982;2;1;;Institut;;Universitŕ degli Studi di Milano, Italien;Verwaltung und Gesellschaft in Lombardo-Venetien in der Restaurationszeit 1814–1848;Bei Antritt bereits promoviert;"{""weiteres52d3fad58f14f"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=125872577 | Amministrazione e classi sociali nel Lombardo-Veneto (1814\u20131848), Bologna 1983 (Storia e amministrazione 3) (Saggi 256) | _new>>\r\n""}}";B;Universität Mailand;Mailand;Italien;;
Fellow;Meyjes;Guillaume H. M. Posthumus ;;Niederlande;1954, 1955, 1956;1;1;;Institut;;;Jean Gerson;"keine Stipendiatenakte vorhanden; In Ordner 1221 verschiedene Quitungsbelege vorhanden, keine schriftliche Konversation";"{""weiteres52d3fad32063f"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=071949542 | Jean Gerson, zijn kerkpolitiek en ecclesologie, Diss. Univ. Leiden 1963; \u00dcbers.: Jean Gerson\u00a0 \u2013 apostle of unity: his church politics and ecclesiology, Leiden u.a. 1999 (Studies in the history of Christian thought 94) | _new>>\r\n""}}";;;;;;
Fellow;Mikaeljan;Vardges;;Sowjetunion;1989;2;1;1;Institut;;Institut für Geschichte, Armenische Akademie der Wissenschaften, Eriwan, Armenien;Die Politik des deutschen Kaiserreiches gegenüber dem Nahen Osten und Transkaukasien im Ersten Weltkrieg;Bei Antritt bereits Professur inne;"{""weiteres52d3fad03c1a0"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=126497761 | Armjanskij vopros i genocid armjan v Turcii (1913\u20131919), Eriwan 1995 | _new>>\r\n""}}";G;Akademie der Wissenschaften der Armenischen SSR, Institut für Geschichte;Jerewan;Armenien ;;
Fellow;Miko?;Kazimiera;;Polen;1987;2;1;1;Institut;;Uniwersytet Jagiello?ski, Kraków, Polen;Johann Wilhelm Hauer und die Deutsche Glaubensbewegung nach dem Ersten Weltkrieg;;"{""weiteres14560e790223653f"":{""titel"":""Publikationen"",""text"":""- J. Wilhelma Hauera pr\u00f3ba zinstytucjonalizowania niemieckiej wiary, in: Studia Religiologica 5 (1980), 43-61\r\n- Poj\u0119cie prafenomenu w teorii religii J. W. Hauera, in: Studia Religiologica 9 (1981), 143-156""}}";B;Uniwersytet Jagiellonski;Krakow;Polen;;
Fellow;Miko?;Kazimiera;;Polen;1982, 1983;2;1;1;Institut;;Uniwersytet Jagiello?ski, Kraków, Polen;Johann Wilhelm Hauer und die Deutsche Glaubensbewegung nach dem Ersten Weltkrieg;;"{""weiteres14560e790223653f"":{""titel"":""Publikationen"",""text"":""- J. Wilhelma Hauera pr\u00f3ba zinstytucjonalizowania niemieckiej wiary, in: Studia Religiologica 5 (1980), 43-61\r\n- Poj\u0119cie prafenomenu w teorii religii J. W. Hauera, in: Studia Religiologica 9 (1981), 143-156""}}";B;Uniwersytet Jagiellonski;Krakow;Polen;;
Fellow;Milak;Enes;;Jugoslawien;1978;2;1;1;Institut;;Universität Belgrad, Serbien;Die italienische Jugoslawienpolitik in den 1930er Jahren;Betreuer nicht eindeutig ermittelbar, Arbeit an Geschichtsinstitut;"{""weiteres52d3facf7b615"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/cobiss4.izum.si\/scripts\/cobiss?command=DISPLAY&base=50001&rid=336650&fmt=11&lani=en | Italija i Jugoslavija 1931\u20131937, Beograd 1987 | _new>>\r\n""}}";G;Institut für Zeitgeschichte;Belgrad;Jugoslawien;;
Fellow;Millás;José M.;;Spanien;1979, 1980, 1981, 1982;1;1;;Institut;;Philosophisch-Theologische Hochschule Sankt Georgen Frankfurt a.M., Deutschland;Die Theologie der Sünde bei Rudolf Bultmann;;"{""weiteres52d3fad56154a"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=005540232 | Die S\u00fcnde in der Theologie Rudolf Bultmanns, Frankfurt a.M. 1987 (Frankfurter theologische Studien 34) | _new>>\r\n""}}";B;Philosophisch-Theologische Hochschule Sankt Georgen ;Frankfurt a. M.;Bundesrepublik Deutschland;;
Fellow;Miller;Sam J.;;USA;1959;1;1;;Institut;;Boston College, USA;Versuch zur Wiedervereinigung im Glauben im 17. Jahrhundert;Akte im Ordner 1217 vorhanden;;;;;;;
Fellow;Misner;Paul;;USA;1985, 1986;2;1;;Extern;Fulbright-Stiftung;Marquette University, Milwaukee, USA;Die Reaktion des europäischen Katholizismus auf die Industrialisierung;"Bei Antritt bereits promoviert; kein Gutachten vorhanden";"{""weiteres52d3fad654936"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/lccn.loc.gov\/90025659 | Social Catholicism in Europe: From the Onset of Industrialization to the First World War, New York 1991 | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Miti?;Ilija;;Jugoslawien;1972, 1973;2;1;1;Institut;;Historisches Institut, Jugoslawische Akademie der Wissenschaften und der Künste, Abteilung Dubrovnik, Kroatien;Die Beziehungen der Republik Ragusa zu Mitteleuropa vom 13. bis zum 19. Jahrhundert;Bei Antritt bereits promoviert;"{""weiteres52d3fad459733"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=031162959 | Dubravacka drzava u medunarodnoj zajednici (od 1358 do 1815), Zagreb 1988 | _new>>\r\n""}}";B;;;;;
Fellow;Mitrovi?;Andrej;;Jugoslawien;1977;2;1;1;;;Universität Belgrad, Serbien;"Nationalsozialistische Großraumwirtschaft in Südosteuropa; Deutschland und Südosteuropa 1900–1945";;"{""weiteres52d3fad409908"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=050709526 | Jugoslavija na konferenciji mira 1919-1920, Beograd 1968 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=050501992 | Vreme netrpelivich: politic\u0306ka istorija velikich drz\u0306ava Evrope 1919-1939, Beograd 1974 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=312321325 | \tRazgranicenje Jugoslavije sa Madarskom i Rumunijom 1919-1920: prilog proucavanju jugoslovenske politike na konferenciji mira u Parizu, Novi Sad 1975 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=056584814 | \tProdor na Balkan : Srbija u planovima Austro-Ugarske i Nemacke 1908 - 1918, Beograd 1981 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=030345065 | \tSrbi i Albanci u XX veku : ciklus predavanja 7 - 10. maj 1990, Beograd 1991 | _new>>\r\n""}}";G;Universität Belgrad;Belgrad;Jugoslawien;;
Fellow;Mitrovi?;Andrej;;Jugoslawien;1981;2;1;1;Extern;Alexander von Humbold-Stiftung;Universität Belgrad, Serbien;"Nationalsozialistische Großraumwirtschaft in Südosteuropa; Deutschland und Südosteuropa 1900–1945";;"{""weiteres52d3fad409908"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=050709526 | Jugoslavija na konferenciji mira 1919-1920, Beograd 1968 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=050501992 | Vreme netrpelivich: politic\u0306ka istorija velikich drz\u0306ava Evrope 1919-1939, Beograd 1974 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=312321325 | \tRazgranicenje Jugoslavije sa Madarskom i Rumunijom 1919-1920: prilog proucavanju jugoslovenske politike na konferenciji mira u Parizu, Novi Sad 1975 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=056584814 | \tProdor na Balkan : Srbija u planovima Austro-Ugarske i Nemacke 1908 - 1918, Beograd 1981 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=030345065 | \tSrbi i Albanci u XX veku : ciklus predavanja 7 - 10. maj 1990, Beograd 1991 | _new>>\r\n""}}";G;Universität Belgrad;Belgrad;Jugoslawien;;
Fellow;Mitrovi?;Andrej;;Jugoslawien;1967, 1968;2;1;1;;;Universität Belgrad, Serbien;"Nationalsozialistische Großraumwirtschaft in Südosteuropa; Deutschland und Südosteuropa 1900–1945";;"{""weiteres52d3fad409908"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=050709526 | Jugoslavija na konferenciji mira 1919-1920, Beograd 1968 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=050501992 | Vreme netrpelivich: politic\u0306ka istorija velikich drz\u0306ava Evrope 1919-1939, Beograd 1974 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=312321325 | \tRazgranicenje Jugoslavije sa Madarskom i Rumunijom 1919-1920: prilog proucavanju jugoslovenske politike na konferenciji mira u Parizu, Novi Sad 1975 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=056584814 | \tProdor na Balkan : Srbija u planovima Austro-Ugarske i Nemacke 1908 - 1918, Beograd 1981 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=030345065 | \tSrbi i Albanci u XX veku : ciklus predavanja 7 - 10. maj 1990, Beograd 1991 | _new>>\r\n""}}";G;Universität Belgrad;Belgrad;Jugoslawien;;
Fellow;Mitrovi?;Andrej;;Jugoslawien;1971, 1972;2;1;1;;;Universität Belgrad, Serbien;"Nationalsozialistische Großraumwirtschaft in Südosteuropa; Deutschland und Südosteuropa 1900–1945";;"{""weiteres52d3fad409908"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=050709526 | Jugoslavija na konferenciji mira 1919-1920, Beograd 1968 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=050501992 | Vreme netrpelivich: politic\u0306ka istorija velikich drz\u0306ava Evrope 1919-1939, Beograd 1974 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=312321325 | \tRazgranicenje Jugoslavije sa Madarskom i Rumunijom 1919-1920: prilog proucavanju jugoslovenske politike na konferenciji mira u Parizu, Novi Sad 1975 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=056584814 | \tProdor na Balkan : Srbija u planovima Austro-Ugarske i Nemacke 1908 - 1918, Beograd 1981 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=030345065 | \tSrbi i Albanci u XX veku : ciklus predavanja 7 - 10. maj 1990, Beograd 1991 | _new>>\r\n""}}";G;Universität Belgrad;Belgrad;Jugoslawien;;
Fellow;Mittendorfer;Konstanze;;Österreich;1985, 1986;2;1;;Institut;;Paris-Lodron-Universität Salzburg, Österreich;Haus und Häuslichkeit. Bürgerliche Privatheit im Biedermeier;;"{""weiteres52d3fad6555ee"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=017409632 | Biedermeier oder: Das Gl\u00fcck im Haus. Bauen und Wohnen in Wien und Berlin 1800\u20131850, Wien 1991 | _new>>\r\n""}}";B;Universität Salzburg;Salzburg;Österreich;;
Fellow;Molik;Witold;;Polen;1984;2;1;1;Extern;Alexander von Humboldt-Stiftung;Adam Mickiewicz University in Pozna?, Polen;Die polnischen Studenten an deutschen Universitäten 1815–1914;Postdoc-Aufenthalt;"{""weiteres52d3facfebdca"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/d-nb.info\/369200306\/about\/html | Polskie peregrynacje uniwersyteckie do Niemiec 1871\u20131914, Pozna\u0144 1989 (Seria Historia 150) | _new>>\r\n""}}";B;Eberhard-Karls-Universität;Tübingen;Bundesrepublik Deutschland;;
Fellow;Montant-Ponchon;Nicole;;Frankreich;1977;2;1;;Institut;;Université Paris-Sorbonne, Frankreich;Katholizismus und Volksfrömmigkeit in Bayern 1863–1870;;;B;Université Paris-Sorbonne;Paris;Frankreich;;
Fellow;Montenegro;Angelo;;Italien;1983;2;1;;Extern;Volkswagen-Stiftung;Universitŕ degli Studi di Milano, Italien;Pirelli als multinationales Unternehmen in den zwanziger Jahren;;"{""weiteres52d3facfdc5c6"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/opac.ub.uni-mainz.de\/DB=3\/CMD?ACT=SRCHA&IKT=8520&DB=3&SRT=YOP&SRT=YOP&TRM=3-8053-1255-5 | Die Entwicklung eines multinationalen Unternehmens in den zwanziger Jahren: die Societ\u00e0 Italiana Pirelli, in: Politik, Wirtschaft und internationale Beziehungen: Studien zu ihrem Verh\u00e4ltnis in der Zeit zwischen den Weltkriegen, hrsg. von Harm G. Schroeteru.a., Mainz 1991 (IEGB 33), S. 149-171 | _new>>\r\n""}}";;;;;;
Fellow;Monticone;Alberto;;Italien;1960;2;1;;Institut;;Universitŕ di Roma, Italien;Die Mission Bülow in Rom 1914/15;Postdoc-Aufenthalt, Assisten von Prof. Valsecchi (Rom), kein Gutachten vorhanden;;kein Gutachter;;;;;
Fellow;Moreau;Patrick;;Frankreich;1976, 1977;2;1;;Institut;;Université Paris-Sorbonne, Frankreich;Die Schwarze Front Otto Strassers 1930–1935;;"{""weiteres52d3fad501833"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/opac.ub.uni-mainz.de\/DB=3\/SET=30\/TTL=1\/CMD?ACT=SRCHA&IKT=8520&DB=3&SRT=YOP&SRT=YOP&TRM=3-421-06192-0 | Nationalsozialismus von links. Die \u00bbKampfgemeinschaft Revolution\u00e4rer Nationalsozialisten\u00ab und die \u00bbSchwarze Front\u00ab 1930\u20131935, Stuttgart 1984 (Studien zur Zeitgeschichte 28) | _new>>\r\n""}}";B;Université Paris-Sorbonne;Paris;Frankreich;;
Fellow;Moreira;Isabel;;Vereinigtes Königreich;1984, 1985, 1986;1;1;;Institut;;University of St. Andrews, UK;Frühes merowingisches Mönchtum unter Berücksichtigung der beiden Viten der Hl. Radegundis. Textanalyse und historischer Kommentar;;"{""weiteres52d3fad637397"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/dx.doi.org\/10.1016\/0304-4181(93)90001-S | Provisatrix optima: St. Radegund of Poitiers' relic petitions to the east, in: Journal of Medieval History 19 (1993) 4, 285\u2013305 | _new>>\r\n""}}";B;University of St. Andrews;St. Andrews;Vereinigtes Königreich;;
Fellow;Morrow;Daniel Sanders;;USA;1971, 1972;2;1;;Institut;;University of North Carolina, USA;Das Verhalten der Deutschen gegenüber den farbigen Truppen der französischen Besatzungsmacht 1918–1930;;"{""weiteres1450855c92cdd86d"":{""titel"":""Publikationen"",""text"":""-  <<http:\/\/cbsopac.rz.uni-frankfurt.de\/DB=2.1\/PPNSET?PPN=120708744 | \u00bbThe black Shame\u00ab: German reaction to the French deployment of colored troops in the occupied western zones, 1918-1923, M.A. Thesis Univ. of Virginia 1970 | _new>>""}}";B;University of North Carolina;Chapel Hill, North Carolina;USA;;
Fellow;Murayama;Satoshi;;Japan;1988;2;1;;Institut;;Justus-Liebig-Universität Gießen, Deutschland;Konfession und Gesellschaft im Wuppertal 1650–1850;;"{""weiteres52d3fad6b432c"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/cbsopac.rz.uni-frankfurt.de\/DB=2.1\/PPNSET?PPN=014247267 | Konfession und Gesellschaft in einem Gewerbezentrum des fr\u00fchneuzeitlichen Deutschlands: das Wuppertal (Elberfeld-Barmen) von 1650 bis 1820, Diss. Gie\u00dfen 1988 | _new>>\r\n""}}";B;Justus-Liebig-Universität;Gießen;Bundesrepublik Deutschland;;
Fellow;Murayama;Satoshi;;Japan;1986, 1987;2;1;;Institut;;Justus-Liebig-Universität Gießen, Deutschland;Konfession und Gesellschaft im Wuppertal 1650–1850;;"{""weiteres52d3fad6b432c"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/cbsopac.rz.uni-frankfurt.de\/DB=2.1\/PPNSET?PPN=014247267 | Konfession und Gesellschaft in einem Gewerbezentrum des fr\u00fchneuzeitlichen Deutschlands: das Wuppertal (Elberfeld-Barmen) von 1650 bis 1820, Diss. Gie\u00dfen 1988 | _new>>\r\n""}}";B;Justus-Liebig-Universität;Gießen;Bundesrepublik Deutschland;;
Fellow;Myllykoski;Matti;;Finnland;1988;1;1;;Institut;;Helsingin yliopisto, Helsinki, Finnland;Der Prozeß Jesu vor dem jüdischen Gericht;;"{""weiteres52d3fad034469"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/d-nb.info\/552121800 | Die letzten Tage Jesu. Markus und Johannes, ihre Traditionen und die historische Frage , 2 Bde., Helsinki 1991\/1994 | _new>>\r\n""}}";B;Helsingin yliopisto;Helsinki;Finnland;;
Fellow;Myllyniemi;Seppo;;Finnland;1972;2;1;;Institut;;keine Angabe in Akten;Die nationalsozialistische Besatzungspolitik in den baltischen Ländern 1941–1944;;"{""weiteres52d3fad3d9052"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=074961853 | Die Neuordnung der baltischen L\u00e4nder 1941\u20131944. Zum nationalsozialistischen Inhalt der deutschen Besatzungspolitik, Helsinki 1973 (Dissertationes historicae 2) (Historiallisia tutkimuksia 90) | _new>>\r\n""}}";B;Helsingin yliopisto;Helsinki;Finnland;;
Fellow;Myllyniemi;Seppo;;Finnland;1968;2;1;;Institut;;Provinzialarchiv, Hämeenlinna, Finnland;Die nationalsozialistische Besatzungspolitik in den baltischen Ländern 1941–1944;;"{""weiteres52d3fad3d9052"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=074961853 | Die Neuordnung der baltischen L\u00e4nder 1941\u20131944. Zum nationalsozialistischen Inhalt der deutschen Besatzungspolitik, Helsinki 1973 (Dissertationes historicae 2) (Historiallisia tutkimuksia 90) | _new>>\r\n""}}";B;Helsingin yliopisto;Helsinki;Finnland;;
Fellow;Myllyniemi;Seppo;;Finnland;1966;2;1;;Institut;;Helsingin yliopisto, Helsinki, Finnland;Die nationalsozialistische Besatzungspolitik in den baltischen Ländern 1941–1944;;"{""weiteres52d3fad3d9052"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=074961853 | Die Neuordnung der baltischen L\u00e4nder 1941\u20131944. Zum nationalsozialistischen Inhalt der deutschen Besatzungspolitik, Helsinki 1973 (Dissertationes historicae 2) (Historiallisia tutkimuksia 90) | _new>>\r\n""}}";B;Helsingin yliopisto;Helsinki;Finnland;;
Fellow;Nadau;Thierry;;Frankreich;1986, 1987;2;1;;Institut;;Université Paris-Sorbonne, Frankreich/Université Lille Nord de France, Frankreich;Die agrarische Entwicklung in Deutschland und Frankreich 1850–1914;;;B;Universität Lille;Lille;Frankreich;;
Fellow;Narr;Karl J.;;Bundesrepublik Deutschland;1951;2;1;;Institut;;Rheinische Friedrich-Wilhelms-Universität Bonn, Deutschland;Der Mensch in der Vor- und Frühgeschichte;keine Stipendiatenakte vorhanden; Abriss der Vorgeschichte, bearb. von Karl J. Narr u.a., M\u00fcnchen 1958 (Oldenbourgs Abriss der Weltgeschichte 1A) ;;;;;;
Fellow;N?mec;Zd?nek;;Tschechoslowakei;1968, 1969;2;1;1;Institut;;Ostslowakisches Museum, Košice, Slowakei;Die Industrie der Tschechoslowakei in der Zwischenkriegszeit  ;"Vorname, Ort und Institution des Betreuers nicht gefunden; Fertigstellung der Dissertaton";;B;;;;;
Fellow;Nemeny-Nahodil;Josef;;Ungarn;1957, 1958;1;1;1;Institut;;;Direkte und indirekte Beziehungen zu Luther im Denken Hegels, Kants, Feuerbachs, Schopenhauers und Nietzsches;"Akte im Ordner 1217; kein Gutachter oder Betreuer vorhanden; ""Akte"" nur ein einziges Schreiben; In Ordner 1221 komplettte Akte ohne Gutachter oder Betreuer vorhanden";;;;;;;
Fellow;Nemeskürthyová;L'udmila;;Tschechoslowakei;1981, 1982;2;1;1;Extern;DAAD;Slowakisches Nationalmuseum, Historische Abteilung, Bratislava, Slowakei;Die Zünfte und ihre Symbole in der Slowakei und im deutschen Sprachraum im späten Mittelalter und in der frühen Neuzeit;"Empfohlen von Dr. Anton Spiesz; Betreuer der Arbeit unbekannt; Fertigstellung der Disserartion ";"{""weiteres52d3fad5887a8"":{""titel"":""Publikationen"",""text"":""- V\u00fdznam cechov\u00fdch truhl\u00edc a ich \u00faloha v \u017eivote cechu, in: Zborn\u00edk Slovensk\u00e9ho N\u00e1rodn\u00e9ho M\u00fazea, Historia 34 (1994), 5\u201317\r\n""}}";G;Slowakisches Nationalmuseum;Bratislava;Tschechoslowakei;;
Fellow;Neumann;Horst;;Bundesrepublik Deutschland;1959, 1960, 1961;1;1;;Institut;;;Die Humilitas in Luthers Römerbriefkommentar;"Akte im Ordner 1217; kein Gutachter oder Betreuer vorhanden";;;;;;;
